Name;Flight;Date;Outcome
Laika (Barker);Sputnik 2;3 November 1957;No recovery system. Was poisoned and died in space.ý
Bars (Panther or Lynx)ü;attempted flight of Vostok prototype;28 July 1960;Booster exploded during launch, both killed.
Lisichka (Little Fox);;;
Belka (Squirrel);Sputnik 5;19 August 1960;Spent a day in orbit, safely recovered.
Strelka (Little Arrow);;;
Pchelka (Little Bee);Sputnik 6;1 December 1960;Spent a day in orbit, fault in retrofire caused craft to stray off-course.?
Mushka (Little Fly);;;
Damka (Little Lady)?;attempted flight of Vostok prototype;22 December 1960;Upper stage failed, launch aborted, dogs recovered after a suborbital flight.
Krasavka (Beauty)?;;;
Chernushka (Blackie);Sputnik 9;9 March 1961;One orbit, recovered.
Zvezdochka (Little Star);Sputnik 10;25 March 1961;One orbit rehearsal for Vostok 1. Safe recovery.
Verterok (Little Wind);Kosmos 110;22 February 1966;Safely landed after a 22 day flight.
Ugolyok (Little Piece of Coal);;;
